Order ID,Category,Sales,Profit
CA-2016-114489,Furniture,1951.84,585.552
CA-2014-131926,Furniture,2001.86,580.5394
CA-2016-145625,Technology,3347.37,636.0003
CA-2014-164973,Technology,3991.98,1995.99
CA-2016-129714,Office Supplies,4355.168,1415.4296
US-2014-135972,Technology,1799.97,701.9883
CA-2015-145352,Office Supplies,6354.95,3177.475
CA-2017-127432,Technology,2999.95,1379.977
CA-2017-143686,Technology,1399.93,601.9699
CA-2017-137596,Technology,1928.78,829.3754
CA-2017-159366,Technology,3059.982,679.996
CA-2014-117639,Office Supplies,2715.93,1276.4871
CA-2015-124891,Technology,2309.65,762.1845
CA-2015-124450,Technology,1379.92,648.5624
US-2016-143819,Technology,4899.93,2400.9657
CA-2017-115602,Office Supplies,1704.56,511.368
CA-2016-133711,Technology,3040,1459.2
CA-2015-157084,Technology,1265.85,556.974
CA-2015-111829,Technology,3149.93,1480.4671
CA-2017-123491,Office Supplies,1702.12,510.636
CA-2014-120474,Furniture,2807.84,673.8816
CA-2017-141789,Office Supplies,1793.98,843.1706
CA-2016-128818,Technology,3999.95,1159.9855
CA-2015-149342,Furniture,Cool White Energy Saver,595.38
CA-2015-113145,Technology,1399.93,601.9699
CA-2014-144624,Technology,4548.81,1228.1787
CA-2017-127180,Technology,11199.968,3919.9888
CA-2017-127180,Technology,2399.6,647.892
CA-2017-157854,Office Supplies,2690.97,1264.7559
US-2015-100377,Technology,2799.96,874.9875
CA-2014-119375,Office Supplies,2934.33,792.2691
CA-2015-147830,Technology,2025.36,607.608
CA-2017-133865,Technology,3359.952,1049.985
CA-2017-113418,Technology,1704.89,767.2005
CA-2015-130659,Technology,1799.75,539.925
CA-2017-168858,Office Supplies,2504.74,626.185
CA-2017-103877,Office Supplies,1577.94,757.4112
CA-2017-168109,Technology,1687.8,742.632
CA-2014-169726,Office Supplies,2060.744,643.9825
CA-2016-135265,Technology,2799.96,944.9865
CA-2017-112333,Office Supplies,2591.56,621.9744
CA-2015-102491,Technology,3080,1416.8
CA-2014-116904,Office Supplies,9449.95,4630.4755
CA-2017-166709,Technology,10499.97,5039.9856
US-2016-107440,Technology,9099.93,2365.9818
CA-2017-119452,Furniture,1805.88,523.7052
CA-2017-145219,Technology,2879.952,1007.9832
CA-2016-102162,Technology,1599.92,751.9624
CA-2016-101546,Office Supplies,1793.98,843.1706
CA-2017-143567,Technology,2249.91,517.4793
CA-2015-169796,Technology,2321.9,1114.512
CA-2014-160766,Technology,2799.96,1371.9804
CA-2016-122903,Furniture,3504.9,700.98
CA-2016-113831,Technology,1979.7,653.301
CA-2016-153598,Technology,1649.95,659.98
US-2016-138408,Technology,1319.96,527.984
CA-2017-160885,Technology,2479.96,743.988
CA-2017-133263,Technology,2999.95,1439.976
US-2015-160857,Technology,2799.944,1014.9797
CA-2014-163748,Technology,1999.96,624.9875
US-2017-163300,Office Supplies,2357.488,884.058
CA-2017-100111,Furniture,2888.127,609.7157
US-2016-113677,Technology,2279.96,592.7896
CA-2017-119809,Office Supplies,2793.528,942.8157
CA-2014-141313,Office Supplies,1737.18,503.7822
CA-2017-143112,Technology,5199.96,1351.9896
CA-2016-143714,Technology,8399.976,1119.9968
CA-2016-163804,Office Supplies,2079.4,582.232
CA-2017-138289,Office Supplies,5443.96,2504.2216
CA-2016-157791,Technology,1999.96,899.982
CA-2014-128209,Office Supplies,2152.776,726.5619
CA-2014-145541,Technology,6999.96,2239.9872
CA-2016-105081,Furniture,1747.25,629.01
CA-2014-144414,Office Supplies,3266.376,1061.5722
CA-2016-118689,Technology,17499.95,8399.976
CA-2015-120677,Furniture,2567.84,770.352
US-2017-135013,Technology,2399.96,839.986
CA-2017-141439,Technology,1879.96,545.1884
US-2017-141677,Technology,2399.96,569.9905
CA-2015-162782,Office Supplies,2541.98,1270.99
CA-2014-167199,Furniture,2573.82,746.4078
US-2015-134558,Technology,2249.91,517.4793
US-2017-167920,Technology,1399.98,629.991
CA-2015-123113,Office Supplies,2625.12,735.0336
CA-2014-163223,Technology,3499.93,909.9818
US-2016-140158,Technology,5399.91,2591.9568
CA-2014-133592,Technology,1687.8,742.632
CA-2015-120782,Office Supplies,3812.97,1906.485
CA-2016-138478,Office Supplies,4535.976,1644.2913
CA-2015-125976,Technology,1871.88,561.564
CA-2017-165323,Technology,3404.5,1668.205
CA-2017-166093,Office Supplies,2518.29,654.7554
CA-2017-140151,Technology,13999.96,6719.9808
CA-2015-114811,Technology,4643.8,2229.024
US-2017-167318,Technology,1649.95,659.98
US-2017-105935,Technology,2939.93,764.3818
CA-2016-158841,Technology,8749.95,2799.984
CA-2016-143805,Office Supplies,2104.55,694.5015
US-2015-163825,Office Supplies,3050.376,1143.891
CA-2016-159891,Office Supplies,1270.99,635.495
CA-2017-135909,Office Supplies,5083.96,1906.485
CA-2016-147256,Office Supplies,1927.59,751.7601
US-2015-128587,Technology,4899.93,2302.9671
CA-2014-152268,Office Supplies,1793.98,843.1706
CA-2016-117121,Office Supplies,9892.74,4946.37
CA-2015-160227,Furniture,2621.322,553.3902
CA-2016-100300,Technology,4476.8,503.64
US-2017-102183,Office Supplies,4305.552,1453.1238
CA-2017-146983,Office Supplies,1577.94,757.4112
CA-2014-125997,Technology,1349.91,661.4559
CA-2017-111738,Office Supplies,2022.272,682.5168
CA-2016-125220,Technology,1649.75,544.4175
CA-2014-128524,Office Supplies,2033.584,762.594
CA-2016-107104,Furniture,Cool White Energy Saver,595.38
CA-2015-117086,Furniture,4404.9,1013.127
CA-2015-164301,Furniture,3393.68,610.8624
CA-2016-129630,Technology,2799.96,944.9865
CA-2017-121559,Furniture,1925.88,539.2464
CA-2017-121559,Office Supplies,2405.2,793.716
