order_id,customer_id,order_date,status,region_code
O00001,C0160,2026-08-03 19:27:45,PLACED,EAST
O00002,C0103,2026-03-30 07:26:59,RETURNED,SOUTH
O00003,C0238,2026-01-14 12:04:53,SHIPPED,SOUTH
O00004,,2025-12-22 17:22:30,SHIPPED,EAST
O00005,C0326,2025-07-06 14:30:07,DELIVERED,NORTH
O00006,C0389,2025-09-14 22:25:41,DELIVERED,NORTH
O00007,C0106,2025-06-28 04:56:12,CANCELLED,NORTH
O00008,C0498,2025-05-20 03:09:15,PLACED,NORTH
O00009,C0472,2026-06-15 22:43:31,CANCELLED,EAST
O00010,C0235,2024-09-08 04:33:59,PLACED,SOUTH
O00011,C0327,2026-01-29 07:49:22,RETURNED,NORTH
O00012,C0223,2025-09-20 23:18:50,DELIVERED,EAST
O00013,C0436,2025-07-04 15:08:33,DELIVERED,EAST
O00014,C0232,2025-01-30 16:45:07,SHIPPED,SOUTH
O00015,C0400,2026-08-04 08:15:55,PLACED,SOUTH
O00016,C0231,2026-04-20 14:46:40,RETURNED,EAST
O00017,C0494,2025-08-14 22:15:02,CANCELLED,EAST
O00018,C0437,2026-04-10 17:12:04,DELIVERED,NORTH
O00019,C0111,2026-03-25 11:53:48,PLACED,SOUTH
O00020,C0496,2025-05-28 13:34:54,DELIVERED,EAST
O00021,C0420,2025-05-04 00:00:00,CANCELLED,WEST
O00022,C0285,2025-11-05 23:28:13,CANCELLED,NORTH
O00023,C0412,2026-04-22 10:02:29,PLACED,SOUTH
O00024,C0067,2026-03-04 07:24:17,PLACED,EAST
O00025,C0470,2026-07-11 00:00:00,PLACED,SOUTH
O00026,C0463,2026-03-19 22:56:18,PLACED,EAST
O00027,,2026-05-17 17:10:50,SHIPPED,WEST
O00028,C0421,2026-01-28 14:23:21,CANCELLED,WEST
O00029,C0089,2025-10-26 22:29:19,DELIVERED,EAST
O00030,C0229,2024-10-20 00:00:00,RETURNED,SOUTH
O00031,C0332,2025-07-01 22:30:56,RETURNED,WEST
O00032,C0032,2024-11-17 10:34:49,CANCELLED,SOUTH
O00033,C0330,2025-02-19 03:22:41,RETURNED,NORTH
O00034,C0196,2025-08-11 01:22:32,RETURNED,WEST
O00035,C0177,2026-03-23 07:27:46,CANCELLED,EAST
O00036,,2025-02-02 01:10:21,PLACED,EAST
O00037,C0030,2026-07-13 08:02:20,DELIVERED,SOUTH
O00038,C0499,2026-06-03 16:43:53,SHIPPED,EAST
O00039,C0274,2024-10-09 13:17:28,PLACED,SOUTH
O00040,C0295,2025-03-13 11:17:30,DELIVERED,SOUTH
O00041,C0091,2025-11-13 03:47:45,DELIVERED,NORTH
O00042,C0361,2026-06-17 10:55:37,RETURNED,SOUTH
O00043,C0289,2025-10-01 18:41:57,CANCELLED,EAST
O00044,C0090,2025-06-18 20:32:42,SHIPPED,SOUTH
O00045,C0011,2025-02-21 00:00:00,RETURNED,SOUTH
O00046,C0413,2024-12-30 06:25:31,DELIVERED,NORTH
O00047,C0012,2024-08-09 16:46:34,SHIPPED,NORTH
O00048,C0434,2026-02-07 06:18:38,PLACED,EAST
O00049,C0361,2026-03-06 01:22:42,PLACED,EAST
O00050,C0155,2026-04-10 14:43:12,CANCELLED,WEST
O00051,C0333,2024-08-10 23:26:03,RETURNED,EAST
O00052,C0115,2025-10-28 09:16:46,CANCELLED,EAST
O00053,C0376,2025-09-15 07:40:54,PLACED,WEST
O00054,C0436,2024-11-04 23:18:09,PLACED,SOUTH
O00055,C0309,2025-09-13 03:52:53,RETURNED,SOUTH
O00056,C0328,2024-08-11 00:55:30,SHIPPED,EAST
O00057,C0382,2025-05-23 17:52:55,DELIVERED,SOUTH
O00058,C0326,2025-12-26 20:26:32,DELIVERED,WEST
O00059,C0006,2025-01-12 00:06:01,PLACED,EAST
O00060,C0132,2026-01-21 15:43:10,PLACED,WEST
O00061,C0225,2026-04-22 03:49:03,CANCELLED,WEST
O00062,C0452,2025-04-07 19:39:11,PLACED,WEST
O00063,C0404,2025-06-19 00:14:34,SHIPPED,SOUTH
O00064,C0232,2025-05-13 20:01:00,DELIVERED,NORTH
O00065,C0164,2024-10-27 05:40:24,DELIVERED,SOUTH
O00066,C0455,2024-12-03 16:06:00,RETURNED,NORTH
O00067,C0174,2025-07-02 09:22:06,CANCELLED,NORTH
O00068,C0221,2025-12-24 13:04:26,CANCELLED,SOUTH
O00069,C0028,2025-11-03 02:54:34,SHIPPED,WEST
O00070,C0357,2025-02-18 10:52:30,RETURNED,EAST
O00071,C0339,2025-02-24 09:51:26,PLACED,WEST
O00072,C0293,2026-05-31 12:44:36,PLACED,EAST
O00073,C0002,2025-09-25 20:32:16,RETURNED,WEST
O00074,C0103,2025-06-30 10:34:40,DELIVERED,NORTH
O00075,C0243,2025-10-18 01:02:04,CANCELLED,WEST
O00076,C0251,2025-05-16 10:55:05,RETURNED,WEST
O00077,C0095,2025-11-23 17:06:03,SHIPPED,WEST
O00078,C0023,2025-03-07 11:38:20,SHIPPED,EAST
O00079,C0289,2026-01-16 02:13:41,PLACED,NORTH
O00080,C0343,2025-06-10 03:54:02,RETURNED,SOUTH
O00081,C0284,2026-03-14 20:30:52,RETURNED,WEST
O00082,C0495,2025-01-10 15:56:36,CANCELLED,SOUTH
O00083,C0244,2025-06-22 09:56:58,PLACED,SOUTH
O00084,C0062,2025-10-08 06:48:01,SHIPPED,SOUTH
O00085,C0414,2026-04-06 00:00:00,PLACED,WEST
O00086,C0104,2025-10-12 12:32:23,RETURNED,EAST
O00087,C0164,2025-08-15 04:40:09,PLACED,NORTH
O00088,C0199,2024-12-22 06:23:35,DELIVERED,WEST
O00089,C0470,2025-05-20 00:05:17,RETURNED,WEST
O00090,C0058,2025-10-13 17:04:57,RETURNED,NORTH
O00091,C0474,2025-10-10 11:06:56,DELIVERED,EAST
O00092,C0450,2025-08-16 04:45:40,CANCELLED,WEST
O00093,C0020,2025-02-18 13:34:35,RETURNED,WEST
O00094,C0020,2025-03-31 15:14:46,SHIPPED,NORTH
O00095,C0382,2025-10-28 03:00:58,DELIVERED,NORTH
O00096,C0173,2025-04-29 22:05:06,DELIVERED,WEST
O00097,C0440,2026-03-29 18:50:58,SHIPPED,SOUTH
O00098,C0154,2026-02-04 10:11:27,DELIVERED,EAST
O00099,C0374,2025-06-10 16:29:41,SHIPPED,WEST
O00100,C0109,2026-02-27 22:47:49,CANCELLED,EAST
O00101,C0421,2024-11-20 16:36:07,PLACED,EAST
O00102,C0364,2026-05-31 13:09:12,RETURNED,NORTH
O00103,C0089,2026-06-07 09:47:11,PLACED,SOUTH
