product_id,product_name,category,subcategory,cost_price
P0001,Lamp,Home,Describe,3494.25
P0002,Headphones,Electronics,Note,4310.78
P0003,Lamp,Home,Them,4448.45
P0004,Sofa,Home,Scientist,435.26
P0005,Dictionary,Books,Unit,2226.46
P0006,Speaker,Electronics,Site,592.49
P0007,Jacket,Clothing,Stage,325.36
P0008,Headphones,Electronics,Learn,2210.37
P0009,Cap,Clothing,Radio,3440.82
P0010,Jeans,Clothing,Technology,3086.51
P0011,Sofa,Home,Yard,2538.57
P0012,Jeans,Clothing,Away,1344.49
P0013,Novel,Books,Skin,2379.74
P0014,Notebook,Books,Rich,2264.48
P0015,Notebook,Books,Class,4813.94
P0016,Sql Guide,Books,Agent,1076.16
P0017,Curtains,Home,Machine,1968.69
P0018,Notebook,Books,Series,3526.47
P0019,Speaker,Electronics,Glass,139.68
P0020,Mouse,Electronics,Always,4180.91
P0021,Dictionary,Books,Begin,1826.37
P0022,Cap,Clothing,Back,3802.33
P0023,T-Shirt,Clothing,Arm,3267.07
P0024,Sql Guide,Books,Could,1887.82
P0025,T-Shirt,Clothing,Study,1700.92
P0026,Table,Home,Enter,3953.91
P0027,Notebook,Books,Open,1435.38
P0028,Jacket,Clothing,Avoid,4726.52
P0029,Python Book,Books,Paper,2394.82
P0030,Smartphone,Electronics,Term,1205.51
P0031,Sofa,Home,Drive,3974.34
P0032,Headphones,Electronics,Whether,2328.45
P0033,Notebook,Books,Evening,3228.89
P0034,Novel,Books,Involve,2410.24
P0035,Notebook,Books,Important,409.76
P0036,Lamp,Home,Little,671.71
P0037,Laptop,Electronics,Professor,2513.86
P0038,Smartphone,Electronics,Interview,764.75
P0039,Lamp,Home,Lead,3741.39
P0040,Sofa,Home,Four,857.16
P0041,Chair,Home,Adult,3116.7
P0042,Novel,Books,Improve,1164.62
P0043,Table,Home,Report,586.84
P0044,Notebook,Books,By,3259.65
P0045,Keyboard,Electronics,Nor,4844.21
P0046,Chair,Home,According,3244.35
P0047,Laptop,Electronics,Put,1293.49
P0048,Cap,Clothing,Service,4166.11
P0049,Cap,Clothing,Present,4361.51
P0050,Dictionary,Books,At,3020.31
P0051,Dictionary,Books,Something,2747.06
P0052,T-Shirt,Clothing,Skill,226.32
P0053,Headphones,Electronics,Pay,1265.86
P0054,Novel,Books,Answer,356.76
P0055,Sofa,Home,School,411.43
P0056,Lamp,Home,Thus,634.36
P0057,Cap,Clothing,Baby,3937.81
P0058,Sql Guide,Books,Help,252.64
P0059,Curtains,Home,Without,629.01
P0060,Chair,Home,Morning,1678.35
P0061,T-Shirt,Clothing,Born,3159.16
P0062,Sql Guide,Books,Figure,2699.73
P0063,Sofa,Home,Stop,585.97
P0064,Speaker,Electronics,Rich,3867.92
P0065,Shoes,Clothing,Fish,1219.62
P0066,Sql Guide,Books,Policy,3675.1
P0067,Sql Guide,Books,Before,1348.96
P0068,Shoes,Clothing,Father,4175.68
P0069,Keyboard,Electronics,Southern,3720.1
P0070,Cap,Clothing,With,4787.46
P0071,Novel,Books,Left,4380.68
P0072,Chair,Home,I,3042.01
P0073,Novel,Books,Indicate,1142.42
P0074,Table,Home,Term,1815.56
P0075,Novel,Books,Recent,2913.09
P0076,Sofa,Home,Allow,4110.29
P0077,Mouse,Electronics,Matter,4164.36
P0078,Novel,Books,Close,3543.22
P0079,Python Book,Books,,988.89
P0080,Cap,Clothing,Discussion,440.97
P0081,Laptop,Electronics,Century,1154.15
P0082,Curtains,Home,Skin,1913.26
P0083,Notebook,Books,Include,4428.38
P0084,Jeans,Clothing,Style,343.84
P0085,Headphones,Electronics,Subject,2177.67
P0086,Curtains,Home,Time,3799.22
P0087,Headphones,Electronics,Offer,1487.91
P0088,Sofa,Home,Find,322.55
P0089,Sofa,Home,Protect,1101.67
P0090,Jeans,Clothing,Charge,1518.29
P0091,Laptop,Electronics,Fire,2210.21
P0092,Shoes,Clothing,Research,1227.54
P0093,Novel,Books,Very,3736.0
P0094,Chair,Home,Who,481.53
P0095,Notebook,Books,Stuff,2081.67
P0096,Lamp,Home,Trial,202.2
P0097,Dictionary,Books,Shoulder,3128.81
P0098,Novel,Books,Raise,618.73
P0099,Sofa,Home,Hour,485.37
P0100,Python Book,Books,Activity,3917.68
P0101,Mouse,Electronics,On,2699.96
P0102,Jacket,Clothing,Two,4795.29
P0103,Jeans,Clothing,One,1354.24
P0104,Cap,Clothing,Chance,3819.85
P0105,Smartphone,Electronics,Candidate,3176.95
P0106,Sofa,Home,Analysis,2299.64
P0107,Python Book,Books,Accept,434.6
P0108,Lamp,Home,Page,2997.96
P0109,Notebook,Books,Pick,2362.54
P0110,Laptop,Electronics,Indeed,1506.68
P0111,Mouse,Electronics,Note,1983.96
P0112,Keyboard,Electronics,Officer,2901.12
P0113,Jacket,Clothing,Your,2556.7
P0114,Keyboard,Electronics,Bed,4505.72
P0115,Novel,Books,Focus,945.54
P0116,Shoes,Clothing,Develop,2667.94
P0117,Jacket,Clothing,Smile,1486.18
P0118,Lamp,Home,Site,356.59
P0119,Novel,Books,Well,2834.02
P0120,Lamp,Home,She,4272.67
P0121,Jacket,Clothing,Guy,3351.7
P0122,Python Book,Books,Development,3522.55
P0123,Table,Home,Itself,4696.21
P0124,Notebook,Books,Western,3979.14
P0125,Cap,Clothing,Race,3385.23
P0126,Novel,Books,Today,983.29
P0127,Jacket,Clothing,Music,2482.73
P0128,Jeans,Clothing,Change,1549.38
P0129,Mouse,Electronics,College,4192.09
P0130,Speaker,Electronics,Create,3854.91
P0131,Cap,Clothing,Do,895.01
P0132,Shoes,Clothing,Practice,1885.07
P0133,Shoes,Clothing,They,3786.72
P0134,Table,Home,Entire,1616.39
P0135,Table,Home,Daughter,4740.94
