item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O00147,P0218,-4,1265.0,75
I00002,O00916,P0395,4,3577.26,36
I00003,O00758,P0371,2,6984.31,15
I00004,O00892,P0348,5,4040.85,61
I00005,O00464,P0240,5,2458.04,100
I00006,O00738,P0251,4,8840.03,16
I00007,O00472,P0183,2,8171.14,85
I00008,O00746,P0332,4,3473.71,79
I00009,O00239,P0355,5,5469.72,43
I00010,O00687,P0381,5,9175.21,94
I00011,O00887,P0436,3,1761.14,3
I00012,O00791,P0324,5,2582.39,71
I00013,O00088,P0281,1,5821.89,79
I00014,O00055,P0324,5,2916.83,66
I00015,O00515,P0434,2,7717.7,15
I00016,O00020,P0489,5,1870.89,26
I00017,O00860,P0318,2,6458.11,56
I00018,O00622,P0249,1,3951.89,75
I00019,O00957,P0197,1,2004.37,55
I00020,O00881,P0123,2,7397.05,48
I00021,O00102,P0290,3,182.22,36
I00022,O00787,P0159,2,2041.77,39
I00023,O00061,P0405,4,5489.39,41
I00024,O00060,P0354,-2,4072.49,12
I00025,O00915,P0457,3,202.52,48
I00026,O00246,P0139,1,6371.79,75
I00027,O00771,P0075,2,4526.88,14
I00028,O00476,P0375,3,2987.12,8
I00029,O00649,P0396,-4,3104.27,2
I00030,O00601,P0097,3,5342.72,31
I00031,O00129,P0413,5,5616.6,52
I00032,O00652,P0061,4,4897.93,100
I00033,O00173,P0099,2,875.52,68
I00034,O00569,P0337,4,218.14,0
I00035,O00636,P0396,4,3222.62,21
I00036,O00944,P0095,1,3193.21,76
I00037,O00390,P0366,3,7658.59,80
I00038,O00523,P0478,2,4860.46,20
I00039,O00308,P0218,5,1216.39,89
I00040,O00743,P0431,1,842.39,35
I00041,O00517,P0083,4,8687.04,40
I00042,O00771,P0373,3,2458.15,34
I00043,O00330,P0011,2,3572.95,58
I00044,O00936,P0343,5,4616.09,82
I00045,O00005,P0393,1,605.98,86
I00046,O00917,P0487,2,6516.93,62
I00047,O00807,P0267,4,4521.06,83
I00048,O00914,P0494,1,8521.67,85
I00049,O00362,P0313,4,3107.62,48
I00050,O00182,P0169,5,3524.94,89
I00051,O00380,P0070,1,9300.23,56
I00052,O00021,P0272,1,4348.65,87
I00053,O00836,P0191,3,1147.68,38
I00054,O00506,P0328,2,2333.62,4
I00055,O00721,P0490,3,3237.47,26
I00056,O00841,P0429,1,5531.16,14
I00057,O00506,P0015,3,6033.93,24
I00058,O00618,P0330,5,2760.95,8
I00059,O00067,P0146,5,5060.18,72
I00060,O00747,P0212,2,7795.71,24
I00061,O00710,P0170,1,832.31,78
I00062,O00905,P0335,3,6409.49,54
