===== CUSTOMER RETENTION ANALYSIS =====
Cohort: 2024-08-01 | Activity Month: 2024-08-01 | Active Customers: 39 | Cohort Size: 39 | Retention: 100.0%
Cohort: 2024-08-01 | Activity Month: 2024-09-01 | Active Customers: 4 | Cohort Size: 39 | Retention: 10.26%
Cohort: 2024-08-01 | Activity Month: 2024-10-01 | Active Customers: 3 | Cohort Size: 39 | Retention: 7.69%
Cohort: 2024-08-01 | Activity Month: 2024-11-01 | Active Customers: 1 | Cohort Size: 39 | Retention: 2.56%
Cohort: 2024-08-01 | Activity Month: 2024-12-01 | Active Customers: 4 | Cohort Size: 39 | Retention: 10.26%
Cohort: 2024-08-01 | Activity Month: 2025-01-01 | Active Customers: 2 | Cohort Size: 39 | Retention: 5.13%
Cohort: 2024-08-01 | Activity Month: 2025-02-01 | Active Customers: 5 | Cohort Size: 39 | Retention: 12.82%
Cohort: 2024-08-01 | Activity Month: 2025-03-01 | Active Customers: 3 | Cohort Size: 39 | Retention: 7.69%
Cohort: 2024-08-01 | Activity Month: 2025-04-01 | Active Customers: 2 | Cohort Size: 39 | Retention: 5.13%
Cohort: 2024-08-01 | Activity Month: 2025-05-01 | Active Customers: 1 | Cohort Size: 39 | Retention: 2.56%
Cohort: 2024-08-01 | Activity Month: 2025-06-01 | Active Customers: 3 | Cohort Size: 39 | Retention: 7.69%
Cohort: 2024-08-01 | Activity Month: 2025-07-01 | Active Customers: 1 | Cohort Size: 39 | Retention: 2.56%
Cohort: 2024-08-01 | Activity Month: 2025-08-01 | Active Customers: 2 | Cohort Size: 39 | Retention: 5.13%
Cohort: 2024-08-01 | Activity Month: 2025-09-01 | Active Customers: 2 | Cohort Size: 39 | Retention: 5.13%
Cohort: 2024-08-01 | Activity Month: 2025-10-01 | Active Customers: 6 | Cohort Size: 39 | Retention: 15.38%
Cohort: 2024-08-01 | Activity Month: 2025-11-01 | Active Customers: 5 | Cohort Size: 39 | Retention: 12.82%
Cohort: 2024-08-01 | Activity Month: 2025-12-01 | Active Customers: 3 | Cohort Size: 39 | Retention: 7.69%
Cohort: 2024-08-01 | Activity Month: 2026-01-01 | Active Customers: 7 | Cohort Size: 39 | Retention: 17.95%
Cohort: 2024-08-01 | Activity Month: 2026-02-01 | Active Customers: 4 | Cohort Size: 39 | Retention: 10.26%
Cohort: 2024-08-01 | Activity Month: 2026-03-01 | Active Customers: 5 | Cohort Size: 39 | Retention: 12.82%
Cohort: 2024-08-01 | Activity Month: 2026-04-01 | Active Customers: 3 | Cohort Size: 39 | Retention: 7.69%
Cohort: 2024-08-01 | Activity Month: 2026-05-01 | Active Customers: 2 | Cohort Size: 39 | Retention: 5.13%
Cohort: 2024-08-01 | Activity Month: 2026-06-01 | Active Customers: 4 | Cohort Size: 39 | Retention: 10.26%
Cohort: 2024-08-01 | Activity Month: 2026-07-01 | Active Customers: 2 | Cohort Size: 39 | Retention: 5.13%
Cohort: 2024-08-01 | Activity Month: 2026-08-01 | Active Customers: 1 | Cohort Size: 39 | Retention: 2.56%
Cohort: 2024-09-01 | Activity Month: 2024-09-01 | Active Customers: 26 | Cohort Size: 26 | Retention: 100.0%
Cohort: 2024-09-01 | Activity Month: 2024-10-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2024-09-01 | Activity Month: 2024-11-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2024-09-01 | Activity Month: 2024-12-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2024-09-01 | Activity Month: 2025-01-01 | Active Customers: 4 | Cohort Size: 26 | Retention: 15.38%
Cohort: 2024-09-01 | Activity Month: 2025-02-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2024-09-01 | Activity Month: 2025-03-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2024-09-01 | Activity Month: 2025-04-01 | Active Customers: 4 | Cohort Size: 26 | Retention: 15.38%
Cohort: 2024-09-01 | Activity Month: 2025-05-01 | Active Customers: 4 | Cohort Size: 26 | Retention: 15.38%
Cohort: 2024-09-01 | Activity Month: 2025-06-01 | Active Customers: 3 | Cohort Size: 26 | Retention: 11.54%
Cohort: 2024-09-01 | Activity Month: 2025-07-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2024-09-01 | Activity Month: 2025-08-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2024-09-01 | Activity Month: 2025-09-01 | Active Customers: 3 | Cohort Size: 26 | Retention: 11.54%
Cohort: 2024-09-01 | Activity Month: 2025-10-01 | Active Customers: 5 | Cohort Size: 26 | Retention: 19.23%
Cohort: 2024-09-01 | Activity Month: 2025-11-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2024-09-01 | Activity Month: 2025-12-01 | Active Customers: 3 | Cohort Size: 26 | Retention: 11.54%
Cohort: 2024-09-01 | Activity Month: 2026-01-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2024-09-01 | Activity Month: 2026-02-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
Cohort: 2024-09-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 26 | Retention: 3.85%
Cohort: 2024-09-01 | Activity Month: 2026-04-01 | Active Customers: 3 | Cohort Size: 26 | Retention: 11.54%
Cohort: 2024-09-01 | Activity Month: 2026-06-01 | Active Customers: 2 | Cohort Size: 26 | Retention: 7.69%
